time score1 score2
0.5 0.898638744258428 0.999948809807867
1 0.868779775913558 0.996983659357902
1.5 0.907765839896534 0.993947422493588
2 0.874304134219935 0.744192596066827
2.5 0.9109428143784 0.920764219635086
3 0.71288631505727 0.90028936032893
3.5 0.867185875937111 0.733299704895994
4 0.951454158437474 0.966442462033343
4.5 0.770746091131693 0.943196811626542
5 0.784227316082068 0.84316727608875
5.5 0.764160620370418 0.91103419172582
6 0.697274683673078 0.74462876625151
6.5 0.85013811848994 0.733842817396668
7 0.82872354022157 0.720583703031965
7.5 0.741885978668352 0.759476674328756
8 0.475090643512881 0.779812938800937
8.5 0.811925147195292 0.561548685215256
9 0.488708651239157 0.791940697399452
9.5 0.52745401449209 0.222158567888657
10 0.667176653581113 0.460480581929946
10.5 0.57036380566972 0.455940929126491
11 0.600208724080773 0.282878603299324
11.5 0.393810441167543 0.311455073911549
12 0.498998623152938 0.689005381890347
12.5 0.54795484317899 0.200131213491624
13 0.339652825167401 0.186811579298030
13.5 0.452444550184901 0.305486805767338
14 0.345012510731087 0.117617726996655
14.5 0.283834264477461 0.336016814500980
15 0.328564484462377 0.0612382144125671
15.5 0.245762193601048 0.000195946384493311
16 0.104001442086344 0.0724181655674414
16.5 0.220110417524315 0.00360066740368123
17 0.273785688461923 0.00978878952426306
17.5 0.0660001420884138 0.0310269832426617
18 0.0500103223659624 0.0955923111299373
18.5 0.18346310812678 0.0595058895913493
19 0.0441618540225383 0.00147406526011964
19.5 0.068557107932092 1.34472138925195e-10
20 0.135455287698786 0.239049294406616
20.5 0.0991938474596912 0.00115568548982533
21 0.0554664718232802 2.10243948890174e-15
21.5 0.120004871334508 7.82334255667306e-07
22 0.0144753927176260 1.65442285736439e-06
22.5 0.0188987908132315 0.00145145937503325
23 0.0253316829667492 0.00337943800461799
23.5 0.0710549976535124 0.00392361461572328
24 0.0239288342436992 0.00064023350976406
24.5 0.000173372587840516 0.000230185070562927
25 0.00236368664239783 6.489234516644e-31
